dimension_1,dimension_2,dimension_3,dimension_4,dimension_5,dimension_6,dimension_7,dimension_8,dimension_9,dimension_10
27,71,43,28,11,35,56,23,67,26
57,22,26,1,87,46,81,7,57,73
23,13,15,20,56,71,95,86,45,2
42,54,19,43,5,55,51,33,60,69
20,66,68,100,41,43,34,89,1,45
92,33,100,14,3,17,34,98,76,72
18,28,76,62,11,28,14,67,11,22
97,16,33,42,9,28,77,87,39,2
84,59,76,97,46,23,84,70,99,16
28,42,49,93,47,11,22,55,48,19
10,30,93,100,57,2,2,53,48,46
40,17,96,73,88,12,22,29,97,24
24,69,47,23,66,90,25,77,97,94
94,3,14,41,34,25,8,8,89,38
10,15,97,84,27,25,62,15,19,86
42,62,21,13,29,16,53,53,32,76
73,29,47,58,7,94,68,18,23,38
78,42,20,51,97,54,40,1,46,29
79,50,43,80,5,8,58,91,92,41
1,91,84,53,8,80,51,53,22,81
25,87,56,6,5,12,85,74,73,46
87,55,76,61,59,37,13,40,87,47
43,59,91,97,96,85,66,13,22,55
78,7,69,97,40,89,27,99,100,42
31,23,96,65,67,4,86,89,62,17
12,36,90,57,39,25,18,32,38,57
31,93,89,69,5,6,6,12,37,57
65,13,12,93,71,45,85,57,87,57
49,73,52,29,28,35,64,9,9,99
88,8,24,64,58,23,13,20,31,46
1,19,30,38,8,72,62,49,78,40
94,8,49,80,31,42,70,66,69,67
34,66,81,58,34,16,72,61,3,16
84,100,87,32,98,37,94,86,34,61
99,87,31,4,56,91,13,68,61,67
3,91,85,25,96,28,1,29,78,60
42,6,100,17,8,30,77,62,93,3
86,0,26,78,10,65,15,96,73,73
77,60,86,0,22,91,1,40,30,26
1,28,64,61,43,4,54,68,6,59
81,60,36,4,100,65,47,77,42,42
9,39,12,81,31,7,91,3,74,3
70,11,82,95,8,12,2,91,76,82
32,56,84,53,97,2,81,78,19,11
4,70,51,30,8,75,25,44,22,78
56,61,7,84,84,18,57,48,41,55
25,8,45,58,73,28,78,79,71,95
13,12,41,3,77,8,91,83,4,12
57,46,10,26,22,12,91,21,87,64
45,29,100,24,57,5,46,40,85,33
85,96,58,13,63,1,69,61,30,69
36,79,63,93,77,79,71,13,77,93
81,51,86,13,30,35,77,100,60,95
69,19,97,96,33,93,31,57,5,70
15,81,95,10,63,77,91,16,77,99
12,5,6,1,90,27,67,43,52,39
80,91,41,6,99,49,84,79,97,85
100,88,62,71,24,100,16,72,14,81
52,82,28,87,57,23,33,18,85,43
39,18,19,58,5,81,31,50,9,12
10,24,50,78,75,37,75,69,19,67
40,22,54,25,31,13,43,72,70,29
56,24,6,84,55,39,38,79,13,88
13,66,63,55,9,74,53,11,41,34
81,73,34,86,1,30,74,18,79,17
15,28,65,97,27,35,56,25,82,86
46,20,86,26,5,7,71,52,68,97
83,6,20,71,90,51,55,16,61,57
34,70,25,48,98,49,82,70,74,68
50,85,9,65,73,94,31,14,27,43
94,5,65,100,95,6,50,35,18,92
78,8,62,45,60,60,8,53,21,55
61,38,55,60,65,37,94,58,51,6
48,7,98,87,57,36,19,8,13,25
31,31,67,41,24,10,63,67,3,59
12,46,78,5,90,52,84,93,44,97
36,74,9,6,83,86,4,87,10,19
96,23,11,4,31,65,3,65,36,5
78,3,45,28,41,20,27,98,83,27
87,78,29,92,53,36,92,70,53,8
59,45,82,70,60,9,58,18,65,80
62,78,88,32,62,58,4,34,88,62
60,68,62,12,91,87,72,6,100,62
2,85,31,31,31,14,14,21,0,9
87,51,27,70,40,37,43,14,5,88
28,77,44,21,46,10,53,23,60,78
33,4,95,12,67,28,60,51,5,33
29,93,80,51,37,27,44,85,71,2
28,10,89,100,12,95,41,3,81,10
95,81,55,98,93,49,0,96,37,28
84,56,95,31,34,78,23,20,2,50
20,35,50,20,30,72,31,11,75,93
73,17,50,21,59,10,12,64,8,97
49,79,63,5,76,89,51,37,65,31
79,63,21,31,3,5,59,82,9,22
67,34,6,90,68,74,6,60,83,3
91,44,11,21,4,41,76,98,69,98
54,31,98,5,97,19,55,97,63,56
57,96,45,28,10,46,4,19,88,85
9,43,45,70,64,98,42,65,75,86
