dimension_1,dimension_2,dimension_3,dimension_4,dimension_5,dimension_6,dimension_7,dimension_8,dimension_9,dimension_10,dimension_11,dimension_12,dimension_13,dimension_14,dimension_15,dimension_16,dimension_17,dimension_18,dimension_19,dimension_20
64,72,0,62,27,28,38,33,3,70,17,32,9,80,56,76,71,12,26,42
85,70,42,98,98,84,84,50,21,65,75,54,30,49,84,90,35,1,37,58
72,67,70,24,43,63,56,84,10,99,6,44,32,99,39,75,86,48,14,46
39,41,86,43,53,15,9,55,93,24,72,26,95,65,69,82,47,81,11,26
14,25,4,82,51,82,12,92,59,21,39,85,31,61,29,11,24,70,89,21
89,77,59,19,86,9,46,89,91,2,35,5,18,77,54,35,83,78,88,92
9,87,65,97,93,63,40,49,24,97,14,78,35,79,73,50,51,28,21,69
19,81,42,52,12,42,15,23,90,90,57,42,11,66,94,71,68,30,40,19
77,62,87,62,43,41,95,96,2,39,40,46,2,29,8,39,35,45,14,23
60,72,86,87,16,43,21,89,41,22,91,35,79,71,82,30,94,23,62,33
16,9,64,51,67,21,21,24,70,42,83,55,44,88,23,40,66,20,71,95
36,79,46,38,76,72,34,23,93,72,44,34,58,66,25,5,4,9,88,40
78,75,59,34,11,86,0,8,9,47,20,43,9,91,65,63,81,78,37,32
58,37,39,0,55,85,11,68,0,14,31,68,98,23,62,74,17,15,14,94
22,56,26,43,69,44,24,21,18,16,78,2,97,22,46,100,65,73,7,42
69,38,37,81,4,58,7,20,49,59,76,65,66,95,64,96,3,37,12,1
63,35,95,40,96,23,18,1,83,80,13,6,8,51,6,76,43,17,57,17
66,52,10,67,52,95,52,5,91,6,79,71,79,78,94,14,42,51,21,51
69,56,41,9,18,48,54,9,47,82,67,26,99,83,35,79,31,53,64,20
69,9,85,46,70,75,78,11,4,24,94,58,41,20,66,80,12,79,13,29
73,86,58,79,35,41,14,70,22,56,64,62,50,80,88,69,77,82,49,1
10,5,27,84,97,79,39,57,50,87,21,67,51,10,51,19,10,73,96,56
51,65,96,58,67,26,33,44,44,14,12,41,16,9,77,46,68,11,100,18
9,62,95,35,98,63,82,30,4,92,95,29,30,19,26,7,15,69,77,15
55,50,23,71,71,37,56,33,25,49,34,42,76,42,19,90,13,57,46,12
98,74,19,67,24,73,48,95,42,0,36,49,55,74,40,10,84,67,34,91
74,20,57,69,15,17,17,47,50,60,71,77,33,74,73,69,94,24,10,11
21,27,0,11,44,29,27,85,15,68,26,97,93,67,52,7,31,86,73,44
54,39,15,16,72,66,97,73,67,77,49,68,43,94,63,98,21,57,59,49
17,85,55,93,30,28,9,20,68,100,31,69,61,63,60,85,68,2,0,70
4,2,77,15,56,83,94,90,97,3,94,60,79,18,53,61,84,41,100,98
60,79,35,48,35,58,64,51,86,51,70,14,83,48,1,73,44,19,63,29
6,38,83,19,64,68,85,49,89,71,9,56,43,43,96,1,20,8,96,17
32,36,57,5,36,82,78,10,95,22,59,5,63,99,50,13,8,13,50,67
96,46,51,60,84,2,90,27,68,9,87,24,7,64,37,92,31,76,52,92
41,32,89,74,76,40,58,74,88,33,26,15,22,28,90,30,80,10,40,48
30,67,6,64,41,49,71,87,86,26,27,34,1,27,76,70,45,17,0,87
86,73,62,59,68,29,64,6,36,97,67,2,97,94,72,54,4,38,61,36
60,36,0,61,45,97,77,75,80,30,83,36,75,86,79,86,21,4,59,50
25,96,0,57,55,64,38,80,24,2,91,4,21,5,26,91,40,73,31,66
54,17,18,70,45,20,42,35,75,66,80,64,80,96,13,5,10,95,74,86
80,21,92,74,57,2,88,29,9,77,14,49,9,78,85,51,82,69,69,75
85,55,10,17,0,45,86,2,84,10,53,42,33,93,22,59,54,32,55,67
66,13,76,7,7,98,43,49,66,53,90,55,94,55,71,58,24,64,18,8
54,46,64,77,32,56,93,16,45,59,74,91,54,80,25,87,18,51,90,36
77,4,17,24,79,0,13,96,91,48,20,38,84,34,61,55,5,38,38,7
49,41,86,15,21,5,100,93,6,95,53,72,39,9,99,84,50,85,2,75
67,97,25,49,33,79,51,92,86,91,27,87,97,73,36,75,51,93,42,59
18,56,75,92,100,6,82,61,96,43,47,91,61,97,66,94,36,57,94,25
33,37,50,42,35,98,80,53,56,69,49,94,30,8,80,23,29,88,42,98
66,93,99,24,72,51,92,36,97,37,10,98,41,64,43,10,28,76,47,74
33,28,29,23,58,77,13,75,85,35,10,25,69,31,51,62,6,34,96,24
62,3,40,54,32,77,44,49,87,11,7,49,59,87,11,16,83,11,60,2
62,92,43,83,80,52,75,6,8,79,40,42,97,2,70,100,30,100,33,66
76,22,47,33,64,94,34,98,54,59,78,81,25,9,91,94,22,84,75,24
40,17,44,83,34,34,41,40,92,86,86,34,8,29,54,5,40,27,30,21
71,3,33,76,96,92,14,66,84,10,37,54,86,38,1,71,21,94,13,81
99,77,38,32,22,24,31,16,13,81,27,58,71,39,32,60,18,97,84,58
2,33,40,44,33,15,29,8,59,97,36,25,65,18,54,47,97,100,48,96
91,90,38,18,19,68,19,54,62,72,0,38,95,61,24,28,50,25,36,60
97,1,39,4,79,35,50,97,30,19,82,16,55,25,76,2,54,43,55,13
12,66,63,7,59,67,55,78,84,43,7,1,58,94,92,31,11,17,98,80
34,31,75,87,85,48,65,17,15,41,75,94,20,59,0,37,65,42,83,40
88,43,73,82,18,4,72,18,32,98,84,42,85,74,21,38,51,5,70,99
99,83,99,68,99,8,49,17,94,17,50,14,39,11,25,71,74,59,100,79
41,80,52,68,96,67,70,33,69,82,13,27,34,30,35,100,0,21,51,1
4,51,21,66,32,39,3,89,71,72,81,10,68,92,84,41,31,90,97,28
27,70,52,84,70,84,42,21,4,58,89,17,93,16,68,76,39,94,28,66
33,41,47,74,8,81,74,12,10,37,45,31,35,45,51,85,20,28,81,34
79,91,67,98,81,84,10,37,89,78,100,78,51,86,95,71,21,66,75,92
13,21,99,85,74,41,34,76,7,1,38,57,1,6,100,66,68,53,13,46
78,70,56,70,38,34,19,78,34,23,57,52,15,67,92,10,18,58,46,66
80,28,10,59,52,37,94,74,65,3,83,38,87,32,84,95,1,76,73,62
11,8,52,22,73,54,38,23,67,77,100,99,83,14,8,93,42,20,63,48
30,76,76,71,52,76,41,28,6,77,13,95,77,80,14,95,70,53,32,2
9,71,22,90,36,74,64,83,5,6,30,85,88,46,84,8,77,84,29,32
2,83,0,63,19,27,46,75,90,4,63,74,34,25,25,33,66,3,81,29
67,60,72,8,78,1,48,7,54,96,92,10,98,5,35,34,32,47,11,91
80,60,94,50,80,21,8,13,64,19,87,34,43,28,13,66,13,90,100,40
71,12,47,87,24,87,81,45,86,15,46,30,96,68,20,84,79,71,81,73
45,49,48,70,14,76,95,92,87,73,24,25,56,70,96,26,81,30,72,4
65,48,89,77,17,37,40,2,11,22,33,69,53,96,78,9,22,1,79,48
27,75,22,33,4,59,89,99,80,57,84,68,71,80,69,63,64,86,33,82
9,10,18,9,51,73,50,58,72,67,23,32,7,79,17,5,78,73,1,30
84,41,24,42,58,49,56,45,27,2,5,64,18,16,46,64,79,34,66,61
85,74,18,66,71,67,59,11,33,36,75,3,28,53,55,30,58,7,85,64
96,66,51,43,58,19,95,82,98,81,24,88,13,64,56,44,44,5,58,37
96,6,16,31,28,1,67,50,100,57,33,93,3,21,36,94,19,42,62,13
80,86,93,29,85,18,61,70,82,13,62,32,29,70,6,47,77,38,95,26
33,93,18,66,87,55,57,98,40,32,32,72,6,54,68,24,50,88,7,10
87,43,79,27,15,80,77,56,18,41,14,12,93,6,63,42,29,96,69,17
69,62,91,66,1,96,27,0,74,90,28,21,4,89,14,82,41,44,88,58
80,93,24,97,8,52,70,68,98,12,43,72,52,20,3,28,25,23,81,50
4,2,18,49,69,50,1,63,28,36,66,5,90,77,71,32,52,70,82,20
44,96,39,5,53,86,86,3,78,26,5,19,98,63,45,53,42,7,77,55
100,85,60,19,79,76,51,70,18,75,97,42,72,58,77,64,67,98,13,41
10,59,9,22,28,85,86,11,25,72,75,82,76,28,81,79,11,51,75,75
35,32,13,22,50,19,82,1,9,67,25,88,63,64,15,97,34,83,31,49
69,97,16,46,86,71,71,7,35,38,6,39,48,44,86,95,21,33,65,53
47,85,85,52,75,23,32,25,10,39,97,59,65,49,24,0,22,69,4,23
